crypto_name,date,price,market_cap,volume,ingestion_timestamp
ethereum,2026-02-19 23:01:55.011,1943.8994481091333,234543411975.45947,17186470604.476414,2026-03-03 01:20:38.901466
ethereum,2026-02-20 00:02:37.343,1948.0657552264208,235073562942.31964,17746469548.832935,2026-03-03 01:20:38.901467
ethereum,2026-02-20 01:02:37.537,1957.303524375768,236220108410.78946,19035390032.29872,2026-03-03 01:20:38.901468
ethereum,2026-02-20 02:03:18.839,1952.6773263740242,235673855525.53708,17893529000.651104,2026-03-03 01:20:38.901469
ethereum,2026-02-20 03:02:13.731,1949.3891460702969,235336149659.03845,16093758455.035143,2026-03-03 01:20:38.901470
ethereum,2026-02-20 04:01:33.583,1953.539872892293,235898882547.3168,17197156353.35881,2026-03-03 01:20:38.901471
ethereum,2026-02-20 05:03:33.357,1938.748279948868,233911044079.7042,16947428855.022423,2026-03-03 01:20:38.901472
ethereum,2026-02-20 06:03:41.478,1954.598682200205,236034508078.83688,19612111027.512333,2026-03-03 01:20:38.901473
ethereum,2026-02-20 07:02:34.612,1957.5972850793923,236266867758.6244,19330761124.772034,2026-03-03 01:20:38.901473
ethereum,2026-02-20 08:03:40.319,1960.0431335177288,236506303378.61826,19785231371.01402,2026-03-03 01:20:38.901474
ethereum,2026-02-20 09:02:58.459,1959.2749153461186,236606630846.97238,18061962334.4163,2026-03-03 01:20:38.901475
ethereum,2026-02-20 10:02:14.298,1967.1966964197627,237519897516.35318,19938945255.447033,2026-03-03 01:20:38.901476
ethereum,2026-02-20 11:02:43.424,1956.345909093457,236155777077.1736,18426083330.494457,2026-03-03 01:20:38.901477
ethereum,2026-02-20 12:00:58.924,1943.9930070536313,234768496191.0544,20441357542.65591,2026-03-03 01:20:38.901478
ethereum,2026-02-20 13:01:13.726,1948.5806586767658,235168139710.47495,20559437335.181698,2026-03-03 01:20:38.901478
ethereum,2026-02-20 14:02:27.952,1933.2919194784408,233258431462.3833,20212054167.44449,2026-03-03 01:20:38.901479
ethereum,2026-02-20 15:00:30.305,1942.4695131856565,234465511423.30594,19003575413.828754,2026-03-03 01:20:38.901480
ethereum,2026-02-20 16:03:06.468,1963.141570934229,236849673311.28558,21170979682.225033,2026-03-03 01:20:38.901481
ethereum,2026-02-20 17:01:52.007,1968.2755889286484,237179880924.25165,20420233523.90408,2026-03-03 01:20:38.901482
ethereum,2026-02-20 18:01:13.444,1965.4065341362657,237144759533.4325,21186991979.47035,2026-03-03 01:20:38.901482
ethereum,2026-02-20 19:02:17.281,1975.1179199411781,237932596486.8078,21795233198.358517,2026-03-03 01:20:38.901485
ethereum,2026-02-20 20:01:57.049,1962.9527218433668,236907368822.8319,21409770227.775604,2026-03-03 01:20:38.901486
